Max Stirner, english
René Descartes, english
Lavoisier, english
Giordano Bruno, english
Bruce Lee, english
Einstein, english
Borges, spanish
Aristotle, english
Plato, english
Nietzche, english
Jose Ingenieros, spanish
Isaac Newton, english
Tesla, english
Leonardo da Vinci, english
Galileo Galilei, english
Charles Darwin, english
Socrates, english
Shakespeare, english
Gandhi, english
martin luther king, english
steve jobs, english
Karl Marx, english
napoleon, english
edison, english
mandela, english
Genghis Khan, english
favaloro, spanish
cervantes, spanish
sarmiento, spanish
Mozart, english
gaudi, english
Voltaire, english
linus torvalds, english
chomsky, english
Larry Page, english
Mark Zuckerburg, english
magnus carlsen, english
Bobby Fischer, english
Garry Kasparov, english
Picasso, spanish
dalai lama, english
sigmund freud, english
george orwell, english
dijkstra, english
kafka, english
goya, español
stephen king, english
bioy casares, spanish
garcia márquez, español
Carlos Gardel, español
stephen hawkings, english
Newton, english
Buddha, english
Galeano, spanish
Sartre, english
Watt, english
Adam Smith, english
Pope Francis, english
Stalin, english
Henry Ford, english
Charlemagne, english
Kant, english
Illia, spanish
Sabato, spanish
Cortazar, spanish
Alberdi, spanish
Schopenhauer, english
Sartre, english
Babbage, english
Von Neumann, english
Wozniak, english
Vint Cerf, english
Turing, english
Shannon, english
Godel, english
Ada Lovelace, english
Blaise Pascal, english
John Lennon, english
Jeff Bezos, english
Mother Teresa, english
Bill gates, english
Copernicus, english
Tolkien, english
Tolstoi, english
Machiaveli, english
Russel, english
Programming, english
Fowler, english
Kerninghan, english
Freedom, english
Justice, english
Corruption, english
Corrupcion, español
El arte de la guerra, español
science, english
Michel de Montaigne, english
